feature,family,subfamily,data_type,dtype_observed,n_total,n_null_pct,n_unique,top_value,top_freq_pct,has_negative
_aggressor_source,META,0b_pipeline_meta,categorical,str,923,0.0,1,'sierra_proxy_count',100.0,False
_dedup_completeness,META,0b_pipeline_meta,event,constant,923,0.0,1,9,100.0,False
_mq_gamma_source,META,0b_pipeline_meta,categorical,str,923,0.0,1,'sierra_proxy_v2',100.0,False
_phase3_bars_processed,META,0b_pipeline_meta,continuous,float,923,0.0,693,481,0.87,False
_phase3_enriched,META,0b_pipeline_meta,binary,bool,923,0.0,1,True,100.0,False
above_open_830,3_IB_OVERNIGHT,3_bool,binary,bool,923,0.0,2,True,94.15,False
above_open_cash,3_IB_OVERNIGHT,3_bool,binary,bool,923,0.0,2,False,91.44,False
after_high,3_IB_OVERNIGHT,3_sessions_levels,event,null_only,923,100.0,0,None,0.0,False
after_low,3_IB_OVERNIGHT,3_sessions_levels,event,null_only,923,100.0,0,None,0.0,False
after_open,3_IB_OVERNIGHT,3_sessions_levels,event,null_only,923,100.0,0,None,0.0,False
aggressor_imbalance,5_ORDER_FLOW,5b_microstructure,continuous,float,923,0.0,871,0.0,1.3,True
asia_high,3_IB_OVERNIGHT,3_sessions_levels,continuous,float,923,0.0,33,28813.75,55.04,False
asia_low,3_IB_OVERNIGHT,3_sessions_levels,continuous,float,923,0.0,4,28335.0,59.15,False
asia_open,3_IB_OVERNIGHT,3_sessions_levels,continuous,float,923,0.0,8,28360.0,59.15,False
ask_bid_imbalance,5_ORDER_FLOW,5b_imbalance,continuous,float,923,0.0,768,0.0,1.08,True
ask_pct,5_ORDER_FLOW,5b_imbalance,continuous,float,923,0.0,743,0.5,1.08,False
atr,9_VOLATILITY_VIX,9_atr,continuous,float,923,0.0,49,692.41,34.02,False
atr_14m,9_VOLATILITY_VIX,9_atr,continuous,float,923,0.0,637,42.57,0.65,False
atr_14m_pct,9_VOLATILITY_VIX,9_atr,continuous,float,923,0.0,550,0.037,0.76,False
avg_ask_size,5_ORDER_FLOW,5b_trader,continuous,float,923,0.0,644,2.0,1.84,False
avg_bid_size,5_ORDER_FLOW,5b_trader,continuous,float,923,0.0,652,2.0,1.84,False
avg_trade_size,5_ORDER_FLOW,5b_trader,continuous,float,923,0.0,789,3.0,0.98,False
bar_body_pct,1_MARKET_STRUCTURE,1a_bar_microstructure,continuous,float,923,0.0,778,50.0,1.19,True
bar_body_ticks,1_MARKET_STRUCTURE,1a_bar_microstructure,continuous,float,923,0.0,249,28.0,1.52,True
bar_color_dn,6_SIERRA_BN,6_bar_color,binary,int,923,0.0,2,0,84.72,False
bar_color_up,6_SIERRA_BN,6_bar_color,binary,int,923,0.0,2,0,87.11,False
bar_duration_sec,5_ORDER_FLOW,5b_volume_abs,continuous,float,923,0.0,17,60.0,41.82,False
bar_edge_buy,6_SIERRA_BN,6_edge,binary,int,923,0.0,2,1,74.32,False
bar_edge_buy_fire,6_SIERRA_BN,6_edge,binary,int,923,86.13,2,1,92.97,False
bar_edge_sell,6_SIERRA_BN,6_edge,binary,int,923,0.0,2,1,74.21,False
bar_edge_sell_fire,6_SIERRA_BN,6_edge,binary,int,923,86.13,2,1,90.62,False
bar_high,META,0a_bar_meta,continuous,float,923,0.0,661,28890.75,0.65,False
bar_long_dn_bar,6_SIERRA_BN,6_bar_long,binary,int,923,0.0,2,0,70.42,False
bar_long_dn_up,6_SIERRA_BN,6_bar_long,binary,int,923,0.0,2,0,93.93,False
bar_long_up_bar,6_SIERRA_BN,6_bar_long,binary,int,923,0.0,2,0,76.49,False
bar_long_up_dn,6_SIERRA_BN,6_bar_long,binary,int,923,0.0,2,0,93.07,False
bar_low,META,0a_bar_meta,continuous,float,923,0.0,671,28727.5,0.65,False
bar_lower_wick_pct,1_MARKET_STRUCTURE,1a_bar_microstructure,continuous,float,923,0.0,227,0.0,10.83,False
bar_no_trade,1_MARKET_STRUCTURE,1a_bar_microstructure,event,constant,923,0.0,1,0,100.0,False
bar_pressure_ask,6_SIERRA_BN,6_bar_pressure,binary,int,923,0.0,2,0,89.6,False
bar_pressure_bid,6_SIERRA_BN,6_bar_pressure,binary,int,923,0.0,2,0,88.3,False
bar_upper_wick_pct,1_MARKET_STRUCTURE,1a_bar_microstructure,continuous,float,923,0.0,231,0.0,9.32,False
bars_in_va,1_MARKET_STRUCTURE,1b_vp_current_range,continuous,float,923,0.0,234,0.0,42.9,False
bars_since_last_swing_high,1_MARKET_STRUCTURE,1c_swing,continuous,float,923,36.29,154,0,1.7,False
bars_since_last_swing_low,1_MARKET_STRUCTURE,1c_swing,continuous,float,923,17.12,418,0,0.65,False
bars_since_retest_high,1_MARKET_STRUCTURE,1c_retest,continuous,float,923,83.53,23,1.0,11.18,False
bars_since_retest_low,1_MARKET_STRUCTURE,1c_retest,continuous,float,923,90.03,31,1.0,5.43,False
bid_pct,5_ORDER_FLOW,5b_imbalance,continuous,float,923,0.0,743,0.5,1.08,False
big_ask_cluster_20t,5_ORDER_FLOW,5c_big_clusters,continuous,float,923,0.0,19,0.0,27.63,False
big_ask_cluster_20t_t1,5_ORDER_FLOW,5c_big_clusters,continuous,float,923,0.0,17,0.0,27.63,False
big_ask_cluster_20t_t2,5_ORDER_FLOW,5c_big_clusters,categorical,int,923,0.0,5,0.0,82.88,False
big_ask_cluster_20t_t3,5_ORDER_FLOW,5c_big_clusters,categorical,int,923,0.0,3,0.0,95.45,False
big_ask_cluster_20t_t4,5_ORDER_FLOW,5c_big_clusters,event,constant,923,0.0,1,0.0,100.0,False
big_ask_cluster_50t,5_ORDER_FLOW,5c_big_clusters,continuous,float,923,0.0,22,0.0,13.11,False
big_bid_cluster_20t,5_ORDER_FLOW,5c_big_clusters,continuous,float,923,0.0,17,0.0,30.88,False
big_bid_cluster_20t_t1,5_ORDER_FLOW,5c_big_clusters,continuous,float,923,0.0,16,0.0,30.88,False
big_bid_cluster_20t_t2,5_ORDER_FLOW,5c_big_clusters,categorical,int,923,0.0,4,0.0,84.29,False
big_bid_cluster_20t_t3,5_ORDER_FLOW,5c_big_clusters,categorical,int,923,0.0,3,0.0,98.59,False
big_bid_cluster_20t_t4,5_ORDER_FLOW,5c_big_clusters,event,constant,923,0.0,1,0.0,100.0,False
big_bid_cluster_50t,5_ORDER_FLOW,5c_big_clusters,continuous,float,923,0.0,21,1.0,14.52,False
bn_absorb_ask,6_SIERRA_BN,6_bn_absorb,binary,int,923,0.0,2,0,98.92,False
bn_absorb_bid,6_SIERRA_BN,6_bn_absorb,binary,int,923,0.0,2,0,99.78,False
bn_color_dn,6_SIERRA_BN,6_bn_color,binary,int,923,0.0,2,0,76.38,False
bn_color_dn_2,6_SIERRA_BN,6_bn_color,binary,int,923,0.0,2,0,96.21,False
bn_color_dn_2_fwd1,6_SIERRA_BN,6_bn_color,binary,int,923,86.13,2,0,95.31,False
bn_color_dn_fwd1,6_SIERRA_BN,6_bn_color,binary,int,923,86.13,2,0,79.69,False
bn_color_up,6_SIERRA_BN,6_bn_color,binary,int,923,0.0,2,0,79.85,False
bn_color_up_2,6_SIERRA_BN,6_bn_color,binary,int,923,0.0,2,0,97.07,False
bn_color_up_2_fwd1,6_SIERRA_BN,6_bn_color,binary,int,923,86.13,2,0,97.66,False
bn_color_up_fwd1,6_SIERRA_BN,6_bn_color,binary,int,923,86.13,2,0,84.38,False
bn_long_dn,6_SIERRA_BN,6_bn_long,binary,int,923,0.0,2,0,55.15,False
bn_long_up,6_SIERRA_BN,6_bn_long,binary,int,923,0.0,2,0,64.14,False
bn_pressure_ask,6_SIERRA_BN,6_bn_pressure,binary,int,923,0.0,2,0.0,89.71,False
bn_pressure_bid,6_SIERRA_BN,6_bn_pressure,binary,int,923,0.0,2,0.0,87.32,False
bn_score_bear,6_SIERRA_BN,6_bn_score,continuous,float,923,0.0,4,0.0,93.07,False
bn_score_bull,6_SIERRA_BN,6_bn_score,continuous,float,923,0.0,6,0.0,94.8,False
bn_score_raw,6_SIERRA_BN,6_bn_score,continuous,float,923,0.0,9,0.0,87.87,True
bn_volume_dn,6_SIERRA_BN,6_bn_volume,binary,int,923,0.0,2,0,90.47,False
bn_volume_up,6_SIERRA_BN,6_bn_volume,binary,int,923,0.0,2,0,92.42,False
bool_above_cur_vpoc,1_MARKET_STRUCTURE,1b_vp_current_bool,binary,int,923,0.0,2,1,87.43,False
bool_above_mq_call,8_OPTIONS_GAMMA,8_mq_bool,binary,int,923,0.0,2,0,98.81,False
bool_above_mq_hvl,8_OPTIONS_GAMMA,8_mq_bool,binary,int,923,0.0,2,0,62.08,False
bool_above_prev_vpoc,2_NIVEAUX_VEILLE,2_prev_bool,event,constant,923,0.0,1,0,100.0,False
bool_above_vwap_d,4_VWAP_ANCHOR,4_vwap_bool,binary,int,923,0.0,2,1,87.87,False
bool_above_vwap_m,4_VWAP_ANCHOR,4_vwap_bool,event,constant,923,0.0,1,0,100.0,False
bool_above_vwap_w,4_VWAP_ANCHOR,4_vwap_bool,event,constant,923,0.0,1,0,100.0,False
bool_gex_flip_zone,8_OPTIONS_GAMMA,8_mq_bool,binary,int,923,0.0,2,1,95.34,False
bool_ib_inside,3_IB_OVERNIGHT,3_bool,binary,int,923,0.0,2,0,87.87,False
bool_near_level,10_SESSION_CALENDAR,10_levels_bool,binary,int,923,0.0,2,0,88.3,False
bool_session_early,10_SESSION_CALENDAR,10_session_flags,binary,int,923,0.0,2,1,93.82,False
bool_va_confluence,1_MARKET_STRUCTURE,1b_vp_current_bool,event,constant,923,0.0,1,0,100.0,False
buy_sell_ratio,5_ORDER_FLOW,5b_imbalance,continuous,float,923,0.0,743,0.5,1.08,False
buy_vol,5_ORDER_FLOW,5b_volume_abs,continuous,float,923,0.0,335,30.0,1.73,False
cash_high,2_NIVEAUX_VEILLE,2_cash_levels_abs,continuous,float,923,0.0,24,28832.5,47.24,False
cash_low,2_NIVEAUX_VEILLE,2_cash_levels_abs,continuous,float,923,0.0,10,28265.75,87.22,False
close,META,0a_bar_meta,continuous,float,923,0.0,666,28743.5,0.54,False
contract,META,0a_bar_meta,categorical,str,923,0.0,1,'NQM26-CME',100.0,False
ctx_absorption_score_5,12_CONTEXT_ROLLING,12_ctx_rolling,continuous,float,923,0.43,3,0.0,93.8,False
ctx_absorption_streak_5,12_CONTEXT_ROLLING,12_ctx_rolling,binary,int,923,0.0,2,0,98.7,False
ctx_bars_since_div,7_REVERSAL_EXHAUSTION,7_ctx_div,event,null_only,923,100.0,0,None,0.0,False
ctx_climax_signal,7_REVERSAL_EXHAUSTION,7_ctx_exhaustion,binary,bool,923,0.0,2,False,96.42,False
ctx_cvd_recovery_rate,12_CONTEXT_ROLLING,12_ctx_rolling,continuous,float,923,86.13,128,0.3485,0.78,True
ctx_cvd_session,12_CONTEXT_ROLLING,12_ctx_rolling,continuous,float,923,86.13,127,-409.0,1.56,True
ctx_day_type_intensity,12_CONTEXT_ROLLING,12_ctx_rolling,continuous,float,923,0.0,7,0.0,99.35,True
ctx_delta_exhaustion,7_REVERSAL_EXHAUSTION,7_ctx_exhaustion,binary,bool,923,0.0,2,False,92.96,False
ctx_delta_slope_5,12_CONTEXT_ROLLING,12_ctx_rolling,continuous,float,923,0.43,475,-2.3,1.2,True
ctx_delta_sum_10,12_CONTEXT_ROLLING,12_ctx_rolling,continuous,float,923,86.13,124,-530.0,2.34,True
ctx_delta_sum_3,12_CONTEXT_ROLLING,12_ctx_rolling,continuous,float,923,0.43,360,-15.0,1.41,True
ctx_dist_vwap_velocity,12_CONTEXT_ROLLING,12_ctx_rolling,continuous,float,923,0.43,854,-5.59,0.44,True
ctx_div_at_swing,7_REVERSAL_EXHAUSTION,7_ctx_div,event,constant,923,86.13,1,0.0,100.0,False
ctx_div_density_20,7_REVERSAL_EXHAUSTION,7_ctx_div,event,constant,923,0.0,1,0,100.0,False
ctx_double_top_trap,7_REVERSAL_EXHAUSTION,7_ctx_exhaustion,binary,bool,923,0.0,2,True,56.66,False
ctx_excess_high_bars,7_REVERSAL_EXHAUSTION,7_ctx_exhaustion,continuous,float,923,0.0,17,8,12.89,False
ctx_excess_low_bars,7_REVERSAL_EXHAUSTION,7_ctx_exhaustion,continuous,float,923,0.0,17,12,12.78,False
ctx_failed_auction,7_REVERSAL_EXHAUSTION,7_ctx_exhaustion,binary,bool,923,0.0,2,False,86.24,False
ctx_finish_strength_mean_5,12_CONTEXT_ROLLING,12_ctx_rolling,continuous,float,923,0.43,236,-0.6,2.18,True
ctx_ib_extension_ratio,12_CONTEXT_ROLLING,12_ctx_rolling,continuous,float,923,87.22,116,1.212539,1.69,False
ctx_ib_position_velocity,12_CONTEXT_ROLLING,12_ctx_rolling,continuous,float,923,95.56,41,0.2571,2.44,True
ctx_instant_absorption,12_CONTEXT_ROLLING,12_ctx_rolling,binary,bool,923,0.0,2,False,98.7,False
ctx_momentum_exhaustion,7_REVERSAL_EXHAUSTION,7_ctx_exhaustion,binary,bool,923,0.0,2,False,72.16,False
ctx_mq_put_call_ratio,8_OPTIONS_GAMMA,8_mq_ctx,continuous,float,923,86.13,96,2.269231,3.12,False
